id,url,autor_nome,autor_handle,data,texto,eh_resposta,respostas,retweets,curtidas,visualizacoes,erro
1619827714516725760,https://x.com/i/web/status/1619827714516725760,Ciro Gomes,@cirogomes,2023-01-29T22:39:56.000Z,"Feliz aniversário para a querida Miguelina Vecchio, vice-presidente nacional do PDT e presidente da Ação da Mulher Trabalhista. É grande exemplo de luta e coragem! ",nao,90 Replies. Reply,119 reposts. Repost,1548 Likes. Like,"77K
 Views",
1619086313306886148,https://x.com/i/web/status/1619086313306886148,Ciro Gomes,@cirogomes,2023-01-27T21:33:52.000Z,"Meu filho Ciro faz aniversário hoje, o primogênito! Desejo muita saúde, amor e que Deus o abençoe hoje e sempre. ",nao,289 Replies. Reply,180 reposts. Repost,5387 Likes. Like,"255.7K
 Views",
1618402873326600193,https://x.com/i/web/status/1618402873326600193,Ciro Gomes,@cirogomes,2023-01-26T00:18:08.000Z,"Muitas felicidades e saúde ao meu filhão Yuri, que também é um ótimo cantor  
@_hey_jude",nao,636 Replies. Reply,316 reposts. Repost,6731 Likes. Like,"415.4K
 Views",
1617236341925740545,https://x.com/i/web/status/1617236341925740545,Ciro Gomes,@cirogomes,2023-01-22T19:02:45.000Z,"Viva Brizola! Nosso grande brasileiro Leonel de Moura Brizola completaria 101 anos hoje. Seu legado segue atual em nossas mentes e corações: exemplo de luta e amor à Pátria, amor à democracia, amor aos trabalhadores e amor à educação.",nao,661 Replies. Reply,688 reposts. Repost,7058 Likes. Like,"335K
 Views",
1614258594173575168,https://x.com/i/web/status/1614258594173575168,Ciro Gomes,@cirogomes,2023-01-14T13:50:14.000Z,"Meus sentimentos ao ministro Luís Roberto Barroso pelo falecimento de sua esposa, Tereza Barroso. Que Deus possa confortar toda sua família neste momento de dor.",nao,154 Replies. Reply,227 reposts. Repost,5846 Likes. Like,"180.3K
 Views",
1613952811842129920,https://x.com/i/web/status/1613952811842129920,Ciro Gomes,@cirogomes,2023-01-13T17:35:10.000Z,"Lamento muito o falecimento do professor Roberto Cláudio Bezerra. Foram incontáveis os momentos que conversamos sobre o Ceará, o Brasil e o mundo. Meus sentimentos à minha querida Maria das Graças e aos meus amigos 
@robertoclaudio
, 
@PriscoBezerra
, Gerardo e Elisa.",nao,35 Replies. Reply,79 reposts. Repost,1292 Likes. Like,"60.3K
 Views",
1613559687416549377,https://x.com/i/web/status/1613559687416549377,Ciro Gomes,@cirogomes,2023-01-12T15:33:02.000Z,"Parabéns, minha irmã! Que esse ano seja de muito sucesso em seus novos desafios. 
@LiaGomesCE
 ",nao,107 Replies. Reply,113 reposts. Repost,2148 Likes. Like,"81.2K
 Views",
1612192206894370816,https://x.com/i/web/status/1612192206894370816,Ciro Gomes,@cirogomes,2023-01-08T20:59:09.000Z,Um dos maiores crimes da história da República não pode ficar impune. Não há a mínima brecha para condescendência. A consciência nacional clama o MÁXIMO RIGOR DA LEI!,nao,6678 Replies. Reply,8717 reposts. Repost,96489 Likes. Like,"3M
 Views",
1612183544624812033,https://x.com/i/web/status/1612183544624812033,Ciro Gomes,@cirogomes,2023-01-08T20:24:44.000Z,"Absurdos os ataques acontecidos neste domingo, em Brasília. Que se identifiquem e sejam punidos os vândalos e, principalmente, seus patrocinadores.

Tenho enorme preocupação com a profunda divisão do País, mas nada justifica os graves crimes que estão cometendo.",nao,4399 Replies. Reply,2994 reposts. Repost,28890 Likes. Like,"1.4M
 Views",
1609384819800289281,https://x.com/i/web/status/1609384819800289281,Ciro Gomes,@cirogomes,2023-01-01T03:03:36.000Z,Esse é o meu desejo pra todos nós. Feliz 2023!,nao,2188 Replies. Reply,946 reposts. Repost,15481 Likes. Like,"1M
 Views",
1609343884315729921,https://x.com/i/web/status/1609343884315729921,Ciro Gomes,@cirogomes,2023-01-01T00:20:56.000Z,"Feliz ano novo, gente querida!",nao,1150 Replies. Reply,478 reposts. Repost,13678 Likes. Like,"654K
 Views",
1609194746957778944,https://x.com/i/web/status/1609194746957778944,Ciro Gomes,@cirogomes,2022-12-31T14:28:19.000Z,Lamento o falecimento do Papa Bento XVI. Sua trajetória está eternizada na história da Igreja Católica. Que descanse em paz.,nao,113 Replies. Reply,138 reposts. Repost,2610 Likes. Like,"130.4K
 Views",
1608547736542130176,https://x.com/i/web/status/1608547736542130176,Ciro Gomes,@cirogomes,2022-12-29T19:37:20.000Z,"Sua arte, seu exemplo, seu talento e sua preocupação com nosso país e nossas crianças estão eternizados. Me solidarizo com familiares, amigos e todos e todas que assim como eu são fãs. 

Muito obrigado, Rei Pelé! ",nao,12 Replies. Reply,98 reposts. Repost,1500 Likes. Like,"45.8K
 Views",
1608547731597033473,https://x.com/i/web/status/1608547731597033473,Ciro Gomes,@cirogomes,2022-12-29T19:37:19.000Z,"Pelé também foi inspiração para milhões - talvez bilhões - de negros e negras de todo planeta, principalmente em uma época em que a luta antirracista era sufocada das mais perversas formas.",nao,6 Replies. Reply,111 reposts. Repost,1589 Likes. Like,"49.6K
 Views",
1608547728707178497,https://x.com/i/web/status/1608547728707178497,Ciro Gomes,@cirogomes,2022-12-29T19:37:18.000Z,"Nos despedimos com muita tristeza desse grande brasileiro, Edson Arantes do Nascimento. Nosso Rei Pelé foi motivo de orgulho e alegria para todo o Brasil. 

Revolucionou o futebol, venceu três copas do mundo, marcou mais de mil gols e conquistou a admiração do mundo inteiro.",nao,80 Replies. Reply,478 reposts. Repost,7830 Likes. Like,"205K
 Views",
1606754751143874561,https://x.com/i/web/status/1606754751143874561,Ciro Gomes,@cirogomes,2022-12-24T20:52:39.000Z,Desejo um natal de muita paz e alegria! Que o exemplo de Jesus ilumine a todos e todas hoje e sempre! ,nao,839 Replies. Reply,481 reposts. Repost,10278 Likes. Like,"555.3K
 Views",
