id,url,autor_nome,autor_handle,data,texto,eh_resposta,respostas,retweets,curtidas,visualizacoes,erro
1619829523939479553,https://x.com/i/web/status/1619829523939479553,Lula,@LulaOficial,2023-01-29T22:47:08.000Z,"Parabéns, Sky!",nao,152 Replies. Reply,349 reposts. Repost,12596 Likes. Like,"535.2K
 Views",
1619653412530032640,https://x.com/i/web/status/1619653412530032640,Lula,@LulaOficial,2023-01-29T11:07:19.000Z,"Precisamos virar a página da história e provar que a filha de um pedreiro pode ser engenheira. As pessoas podem, o que elas precisam é de chance. E o papel do governo é criar oportunidades, abrir portas. E, então, vamos ter um país muito melhor do que temos hoje. Bom domingo!",nao,5553 Replies. Reply,3106 reposts. Repost,29173 Likes. Like,"1.5M
 Views",
1619294749449658368,https://x.com/i/web/status/1619294749449658368,Lula,@LulaOficial,2023-01-28T11:22:07.000Z,"Eu tenho quatro anos para provar que o Brasil pode voltar a ser um país que respeita o seu povo. Vou voltar a viajar o país para conhecer os reais problemas, e levarei nossos ministros, porque um país como Brasil não pode ver o povo passando fome. Bom dia para todos.",nao,6742 Replies. Reply,3157 reposts. Repost,32098 Likes. Like,"1.4M
 Views",
1619106259776544768,https://x.com/i/web/status/1619106259776544768,Lula,@LulaOficial,2023-01-27T22:53:08.000Z,"Semana de conversas do Brasil no mundo. Estivemos da Celac, na Argentina, fui ao Uruguai e tive uma ligação com o amigo 
@EmmanuelMacron
   

: 
@ricardostuckert",nao,547 Replies. Reply,848 reposts. Repost,7028 Likes. Like,"342.3K
 Views",
1619077672281477121,https://x.com/i/web/status/1619077672281477121,Lula,@LulaOficial,2023-01-27T20:59:32.000Z,"Agradeço a presença dos 27 governadores e governadoras hoje em Brasília. Farei o que disse na campanha: independente do partido, todos terão diálogo e trabalho conjunto pelo desenvolvimento do Brasil e para melhorar a vida do povo.

: 
@ricardostuckert",nao,296 Replies. Reply,705 reposts. Repost,5132 Likes. Like,"214K
 Views",
1619050182930472961,https://x.com/i/web/status/1619050182930472961,Lula,@LulaOficial,2023-01-27T19:10:18.000Z,"Carta de Brasília: 27 governadores e governadoras, reunidos com o presidente Lula, reforçaram a defesa inegociável da democracia e a parceria por uma agenda de desenvolvimento para superar o desemprego e a fome. Leia a carta completa. #EquipeLula 
gov.br/planalto/pt-br
…",nao,210 Replies. Reply,512 reposts. Repost,3237 Likes. Like,"158K
 Views",
1619042048505679872,https://x.com/i/web/status/1619042048505679872,Lula,@LulaOficial,2023-01-27T18:37:59.000Z,"Ouvindo os governadores dos 26 estados e Distrito Federal.

: 
@ricardostuckert",nao,357 Replies. Reply,559 reposts. Repost,7933 Likes. Like,"341.7K
 Views",
1619022913071616000,https://x.com/i/web/status/1619022913071616000,Lula,@LulaOficial,2023-01-27T17:21:57.000Z,"Com governadores de todo o país. Vamos trabalhar juntos pelo desenvolvimento do país, destravando obras e projetos e retomando o diálogo federativo.

: 
@ricardostuckert",nao,168 Replies. Reply,388 reposts. Repost,3398 Likes. Like,"169.3K
 Views",
1618982585220079617,https://x.com/i/web/status/1618982585220079617,Lula,@LulaOficial,2023-01-27T14:41:42.000Z,"É com todos, pelo melhor do Brasil, que vamos avançar. Nossas portas estão abertas.

: 
@ricardostuckert",nao,279 Replies. Reply,452 reposts. Repost,3289 Likes. Like,"164.8K
 Views",
1618964789962878976,https://x.com/i/web/status/1618964789962878976,Lula,@LulaOficial,2023-01-27T13:30:59.000Z,"Vamos reconstruir a sala dos prefeitos na Casa Civil e uma sala dos prefeitos na Caixa Econômica, para que os prefeitos do interior possam ser recebidos e bem atendidos para apresentarem projetos e pedirem recursos.",nao,296 Replies. Reply,538 reposts. Repost,4740 Likes. Like,"229.5K
 Views",
1618963567289712641,https://x.com/i/web/status/1618963567289712641,Lula,@LulaOficial,2023-01-27T13:26:07.000Z,"Da minha parte, não há nenhum veto a qualquer governador que quiser conversar. A porta do Palácio do Planalto está aberta. E vamos mostrar ao Brasil que governar de forma civilizada é muito importante. A disseminação do ódio acabou.",nao,1100 Replies. Reply,1120 reposts. Repost,11604 Likes. Like,"423.4K
 Views",
1618963374251073536,https://x.com/i/web/status/1618963374251073536,Lula,@LulaOficial,2023-01-27T13:25:21.000Z,Cada governador deve ter uma obra na cabeça que é a prioritária para a sua região. E nós vamos ver como fazer essas obras. O BNDES voltará a ser um banco de investimento. Os governadores têm que ter acesso a recursos para fazer as obras prioritárias.,nao,180 Replies. Reply,413 reposts. Repost,3799 Likes. Like,"178.3K
 Views",
1618962672950849536,https://x.com/i/web/status/1618962672950849536,Lula,@LulaOficial,2023-01-27T13:22:34.000Z,"Precisamos ouvir os governadores, cada um tem as suas demandas locais. A questão da compensação do ICMS deve estar na cabeça de todos vocês. E não vamos deixar de discutir nada. Queremos saber o que é prioritário para o povo de cada Estado.",nao,90 Replies. Reply,316 reposts. Repost,2431 Likes. Like,"133.5K
 Views",
