id,topico,topico_rotulo
1558988652193218566,5,"dia, amanhã, bom, povo, obrigado"
1559109869256544256,10,"indígenas, povos, precisamos, desenvolvimento, ilegal"
1559221895563812865,2,"governo, renda, salário, mínimo, aumento"
1559476614760628224,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1559550050296004611,1,"povo, presidente, porque, bolsonaro, gente"
1559597703314694151,6,"ciro, giro ciro, giro, perca, sp"
1559675489098371078,2,"governo, renda, salário, mínimo, aumento"
1559725224664465411,0,"brasil, brasildaesperança, povo, país, equipelula"
1559857711730270208,9,"educação, escola, universidades, estudantes, ensino"
1559918221230325760,0,"brasil, brasildaesperança, povo, país, equipelula"
1560024890022952961,9,"educação, escola, universidades, estudantes, ensino"
1560201146052009984,10,"indígenas, povos, precisamos, desenvolvimento, ilegal"
1560289705987641344,6,"ciro, giro ciro, giro, perca, sp"
1560338534711660546,0,"brasil, brasildaesperança, povo, país, equipelula"
1560437395681689600,0,"brasil, brasildaesperança, povo, país, equipelula"
1560589172863369216,2,"governo, renda, salário, mínimo, aumento"
1560705408389578752,1,"povo, presidente, porque, bolsonaro, gente"
1560715465105854466,5,"dia, amanhã, bom, povo, obrigado"
1560801455199625218,5,"dia, amanhã, bom, povo, obrigado"
1561009135646392320,0,"brasil, brasildaesperança, povo, país, equipelula"
1561084701099626496,6,"ciro, giro ciro, giro, perca, sp"
1561143412623122437,1,"povo, presidente, porque, bolsonaro, gente"
1561333400979521541,9,"educação, escola, universidades, estudantes, ensino"
1561653715765022720,2,"governo, renda, salário, mínimo, aumento"
1561752255203786753,2,"governo, renda, salário, mínimo, aumento"
1561812306039824384,1,"povo, presidente, porque, bolsonaro, gente"
1561845118616879104,3,"cirotv, vivo, cirotv br, br, acompanhe"
1561881042377756673,5,"dia, amanhã, bom, povo, obrigado"
1561885419154849792,6,"ciro, giro ciro, giro, perca, sp"
1561886323870400515,3,"cirotv, vivo, cirotv br, br, acompanhe"
1561899185175232516,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1561921419147186177,5,"dia, amanhã, bom, povo, obrigado"
1562060039212384256,2,"governo, renda, salário, mínimo, aumento"
1562375322997346304,0,"brasil, brasildaesperança, povo, país, equipelula"
1562553739377983489,6,"ciro, giro ciro, giro, perca, sp"
1562569003133857793,0,"brasil, brasildaesperança, povo, país, equipelula"
1562628800172916736,1,"povo, presidente, porque, bolsonaro, gente"
1562747433524002816,6,"ciro, giro ciro, giro, perca, sp"
1562806547964919808,0,"brasil, brasildaesperança, povo, país, equipelula"
1562876143182954496,1,"povo, presidente, porque, bolsonaro, gente"
1562921497232015360,5,"dia, amanhã, bom, povo, obrigado"
1563110697189654530,2,"governo, renda, salário, mínimo, aumento"
1563163850727251968,5,"dia, amanhã, bom, povo, obrigado"
1563178244873936897,3,"cirotv, vivo, cirotv br, br, acompanhe"
1563238531937751048,0,"brasil, brasildaesperança, povo, país, equipelula"
1563250908573896705,3,"cirotv, vivo, cirotv br, br, acompanhe"
1563288758715224064,6,"ciro, giro ciro, giro, perca, sp"
1563303611945615360,3,"cirotv, vivo, cirotv br, br, acompanhe"
1563328742423793665,5,"dia, amanhã, bom, povo, obrigado"
1563367721416683527,5,"dia, amanhã, bom, povo, obrigado"
1563469322701266945,6,"ciro, giro ciro, giro, perca, sp"
1563538787237388289,6,"ciro, giro ciro, giro, perca, sp"
1563549870769614852,2,"governo, renda, salário, mínimo, aumento"
1563569840476291072,1,"povo, presidente, porque, bolsonaro, gente"
1563830358222802945,4,"broadcasts, lula, broadcasts lula, imprensa, conversa"
1563950329716248581,9,"educação, escola, universidades, estudantes, ensino"
1564025407468437511,5,"dia, amanhã, bom, povo, obrigado"
1564086133335678979,0,"brasil, brasildaesperança, povo, país, equipelula"
1564092800785858560,1,"povo, presidente, porque, bolsonaro, gente"
1564096774133923840,2,"governo, renda, salário, mínimo, aumento"
1564102938838065153,1,"povo, presidente, porque, bolsonaro, gente"
1564187376779395073,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1564291368830353412,5,"dia, amanhã, bom, povo, obrigado"
1564314982233395202,1,"povo, presidente, porque, bolsonaro, gente"
1564385117434482688,6,"ciro, giro ciro, giro, perca, sp"
1564554418611257345,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1564617017222643726,10,"indígenas, povos, precisamos, desenvolvimento, ilegal"
1564750800705961984,2,"governo, renda, salário, mínimo, aumento"
1564803141706698755,0,"brasil, brasildaesperança, povo, país, equipelula"
1564923975637016577,2,"governo, renda, salário, mínimo, aumento"
1565323037473374209,2,"governo, renda, salário, mínimo, aumento"
1565410597331771396,3,"cirotv, vivo, cirotv br, br, acompanhe"
1565444821434728448,0,"brasil, brasildaesperança, povo, país, equipelula"
