id,candidato,data_ited,dia,data_pub,texto,sem_texto,rt,likes,replies,views,referenced_tweet_id,conversation_id,p_pos,p_neg,p_neu,intensidade,assimetria,n_tokens,n_moral,n_ind,n_vin,n_ger,b_ind,b_vin,b_ger,mfd_cuidado_virtude,mfd_cuidado_vicio,mfd_justica_virtude,mfd_justica_vicio,mfd_lealdade_virtude,mfd_lealdade_vicio,mfd_autoridade_virtude,mfd_autoridade_vicio,mfd_santidade_virtude,mfd_santidade_vicio,mfd_moralidade_geral,topico,topico_rotulo
1559321874592665603,Lula,2022-08-16,2022-08-16,2022-08-15 20:31:20-03:00,"É por não ter tido oportunidade de entrar na universidade que eu quero que os iguais a mim tenham acesso à universidade. Pela minha experiência, sei que o povo pobre precisa apenas de uma oportunidade.",False,1263,12287,1223,0,,1559321874592665603,0.1056045368313789,0.0506990812718868,0.8436963558197021,0.1563036441802978,-0.0549054555594921,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"educação, casa, universidades, vamos, ensino"
1559318770639949825,Lula,2022-08-16,2022-08-16,2022-08-15 20:19:00-03:00,"Quem nasce na terra que eu nasci, se não morresse até 1 ano de idade, ficava resistente. E eu to aqui pra dizer pra vocês que nós não temos tempo de desanimar. Acreditem em vocês, não desanimem da vida ou da luta.",False,830,6525,401,0,,1559318770639949825,0.1741324961185455,0.1191327422857284,0.7067347764968872,0.2932652235031128,-0.054999753832817,19,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"bolsonaro, povo, presidente, pra, porque"
1559317769333751826,Lula,2022-08-16,2022-08-16,2022-08-15 20:15:01-03:00,Nós temos que começar a perguntar quanto nos custou não fazer as coisas nesse país. Quanto custou não alfabetizar o povo na década de 30 ou 40? Quanto custou a esse país não fazer a reforma agrária quando já tinha sido feita no mundo inteiro?,False,860,6141,1457,0,,1559317769333751826,0.0237940717488527,0.5766510367393494,0.3995548784732818,0.6004451215267181,0.5528569649904966,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"educação, casa, universidades, vamos, ensino"
1559315193334751232,Lula,2022-08-16,2022-08-16,2022-08-15 20:04:47-03:00,"A gente vai ter que decidir o Brasil que a gente quer. Esse país já provou que pode ser bom. Se um cara que tem apenas diploma de torneiro mecânico, junto com vocês, provou que é possível, o que vocês não podem fazer?",False,700,5559,592,0,,1559315193334751232,0.1670880168676376,0.188022568821907,0.6448893547058105,0.3551106452941894,0.0209345519542694,20,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"brasil, povo, brasildaesperança, país, vamos"
1559314231899693057,Lula,2022-08-16,2022-08-16,2022-08-15 20:00:58-03:00,"Está nas nossas mãos a responsabilidade de dizer que país a gente quer. Que futuro a gente quer, que educação a gente quer. Que trabalho merecemos, que política de desenvolvimento merecemos. Se nós nos omitirmos, o Brasil irá repetir o último resultado.",False,771,4814,771,0,,1559314231899693057,0.0897878110408783,0.1237706542015075,0.7864415645599365,0.2135584354400634,0.0339828431606292,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"brasil, povo, brasildaesperança, país, vamos"
1559313079334322176,Lula,2022-08-16,2022-08-16,2022-08-15 19:56:23-03:00,"Nós nordestinos, quando a gente se perde, a gente fala que tá ariado. Minha mãe falava isso. E eu to ariado, porque estamos há 48 dias das eleições mais importantes do país. Você liga a televisão e só se fala em eleição, mas eu ainda não posso falar de eleição.",False,1043,11760,928,0,,1559313079334322176,0.0570669025182724,0.4309453070163727,0.5119878053665161,0.4880121946334839,0.3738784044981003,25,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"bolsonaro, povo, presidente, pra, porque"
1559310232689467392,Lula,2022-08-16,2022-08-16,2022-08-15 19:45:04-03:00,"Linda noite na USP.

: 
@ricardostuckert",False,3930,48029,1416,0,,1559310232689467392,0.9867825508117676,0.0017390940338373,0.0114782890304923,0.9885217109695076,-0.9850434567779304,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"hoje, ciro, dia, amanhã, povo"
1559304457665630208,Lula,2022-08-16,2022-08-16,2022-08-15 19:22:07-03:00,"Vim com 
@Haddad_Fernando
 para uma aula pública onde ele trabalha, na USP. O professor que será nosso governador de São Paulo. Lotou.

: 
@ricardostuckert",False,1155,11853,936,0,,1559304457665630208,0.4444204866886139,0.0117981592193245,0.5437812805175781,0.4562187194824219,-0.4326223274692893,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"bolsonaro, povo, presidente, pra, porque"
1559281760692645888,Lula,2022-08-16,2022-08-16,2022-08-15 17:51:56-03:00,"Lula e Haddad em aula aberta na USP 
x.com/i/broadcasts/1
…",False,1415,6904,765,0,,1559281760692645888,0.1073821857571601,0.0114194098860025,0.8811983466148376,0.1188016533851623,-0.0959627758711576,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"broadcasts, lula, imprensa, conversa, caminhada"
1559223470541754370,Lula,2022-08-16,2022-08-16,2022-08-15 14:00:19-03:00,"Hoje eu me encontrei com o ator @mserradoator. Grande profissional com personagens memoráveis no cinema e na televisão. Vamos juntos pelo futuro do Brasil.

: 
@ricardostuckert",False,2254,32868,2486,0,,1559223470541754370,0.9430521130561828,0.0038542444817721,0.0530936755239963,0.9469063244760036,-0.9391978685744108,13,2,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"brasil, povo, brasildaesperança, país, vamos"
